area_name, red_walking,red_surfing,red_fishing,red_other,blue_walking,blue_surfing,blue_fishing,blue_other,yellow_walking,yellow_surfing,yellow_fishing,yellow_other
Route 1,Main:Pidgey/Rattata,None,None,None,Main:Pidgey/Rattata,None,None,None,Main:Pidgey/Rattata,None,None,None
Route 2,Main:Pidgey/Rattata/Weedle,None,None,Main~Trade:Mr. Mime,Main:Pidgey/Rattata/Caterpie,None,None,Main~Trade:Mr. Mime,Main:Pidgey/Rattata/Nidoran♀/Nidoran♂,None,None,Main~Trade:Mr. Mime
Route 3,Main:Pidgey/Spearow/Jigglypuff,None,None,None,Main:Pidgey/Spearow/Jigglypuff,None,None,None,Main:Spearow/Rattata/Sandshrew/Mankey,None,None,None
Route 4,Main:Rattata/Spearow/Ekans,None,None,Main~Gift:Magikarp,Main:Rattata/Spearow/Sandshrew,None,None,Main~Gift:Magikarp,Main:Spearow/Rattata/Sandshrew/Mankey,None,None,Main~Gift:Magikarp
Route 5,Main:Pidgey/Oddish/Mankey,None,None,Main~Trade:Nidoran♀,Main:Pidgey/Meowth/Bellsprout,None,None,Main~Trade:Nidoran♀,Main:Pidgey/Rattata/Pidgeotto/Jigglypuff/Abra,None,None,Main~Trade:Machoke
Route 6,Main:Pidgey/Oddish/Mankey,None,Main~Super Rod:Shellder/Krabby~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,None,Main:Pidgey/Meowth/Bellsprout,None,Main~Super Rod:Shellder/Krabby~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,None,Main:Pidgey/Rattata/Pidgeotto/Jigglypuff/Abra,Main:Psyduck/Golduck,Main~Super Rod:Goldeen~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,None
Route 7,Main:Pidgey/Oddish/Mankey/Growlithe,None,None,None,Main:Pidgey/Meowth/Bellsprout/Vulpix,None,None,None,Main:Pidgey/Rattata/Pidgeotto/Jigglypuff/Abra,None,None,None
Route 8,Main:Pidgey/Ekans/Mankey/Growlithe,None,None,None,Main:Pidgey/Meowth/Sandshrew/Vulpix,None,None,None,Main:Pidgey/Rattata/Pidgeotto/Jigglypuff/Abra/Kadabra,None,None,None
Route 9,Main:Rattata/Spearow/Ekans,None,None,None,Main:Rattata/Spearow/Sandshrew,None,None,None,Main:Nidoran♀/Nidoran♂/Raticate/Fearow/Nidorina/Nidorino/Rattata/Spearow,None,None,None
Route 10,Main:Spearow/Ekans/Voltorb,None,Main~Super Rod:Poliwhirl/Slowpoke~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,None,Main:Spearow/Sandshrew/Voltorb,None,Main~Super Rod:Poliwhirl/Slowpoke~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,None,Main:Magnemite/Raticate/Machop/Rattata/Nidoran♀/Nidoran♂,None,Main~Super Rod:Krabby/Kingler/Horsea~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,None
